Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Applying symmetry-breaking perturbation (amplitude=0.05)...
Done.

Running Pinball Re=100 for 150000 steps (t=1500s)
  PNGs    -> snapshots/ every 500 steps
  Scalars -> pinball_timeseries.h5

  t= 1120.0s | CD1=0.9814 | CL2=0.09870 | CL2_std(500)=0.0129 | reward=-0.03683
  t= 1125.0s | CD1=0.9805 | CL2=0.12935 | CL2_std(500)=0.0114 | reward=-0.03689
  t= 1130.0s | CD1=0.9812 | CL2=0.10255 | CL2_std(500)=0.0101 | reward=-0.03681
  t= 1135.0s | CD1=0.9808 | CL2=0.11802 | CL2_std(500)=0.0091 | reward=-0.03691
  t= 1140.0s | CD1=0.9810 | CL2=0.10949 | CL2_std(500)=0.0051 | reward=-0.03681
  t= 1145.0s | CD1=0.9812 | CL2=0.10443 | CL2_std(500)=0.0078 | reward=-0.03690
  t= 1150.0s | CD1=0.9808 | CL2=0.12020 | CL2_std(500)=0.0063 | reward=-0.03684
  t= 1155.0s | CD1=0.9814 | CL2=0.09812 | CL2_std(500)=0.0113 | reward=-0.03687
  t= 1160.0s | CD1=0.9805 | CL2=0.12955 | CL2_std(500)=0.0103 | reward=-0.03687
  t= 1165.0s | CD1=0.9814 | CL2=0.09898 | CL2_std(500)=0.0129 | reward=-0.03683
  t= 1170.0s | CD1=0.9805 | CL2=0.12864 | CL2_std(500)=0.0114 | reward=-0.03689
  t= 1175.0s | CD1=0.9812 | CL2=0.10310 | CL2_std(500)=0.0096 | reward=-0.03681
  t= 1180.0s | CD1=0.9808 | CL2=0.11650 | CL2_std(500)=0.0088 | reward=-0.03691
  t= 1185.0s | CD1=0.9810 | CL2=0.11045 | CL2_std(500)=0.0048 | reward=-0.03682
  t= 1190.0s | CD1=0.9812 | CL2=0.10336 | CL2_std(500)=0.0080 | reward=-0.03690
  t= 1195.0s | CD1=0.9807 | CL2=0.12138 | CL2_std(500)=0.0067 | reward=-0.03684
  t= 1200.0s | CD1=0.9814 | CL2=0.09795 | CL2_std(500)=0.0117 | reward=-0.03686
  t= 1205.0s | CD1=0.9805 | CL2=0.13006 | CL2_std(500)=0.0106 | reward=-0.03687
